|~名称|~加護|~職業|>|>|>|>|~基本パラメータ|CENTER:~種族|CENTER:~特攻|~装備|~ラ&br;ン&br;ク|~コ&br;ス&br;ト|>|CENTER:~パッシブスキル|CENTER:~リーダー&br;スキル|CENTER:~アシスト&br;スキル|~内政&br;スキル|~スタンス|~備考|h
|プーカ|風|キャスター|105|14|33|54|18|女樹飛|男獣神|杖&br;道具|A|11|専守防衛&br;標的後逸&br;大魔術陣[16]&br;絶対治療&br;|樹霊活性[20]&br;戦術妨害[40]&br;戦意高揚[100]&br;奇襲警戒[20]&br;|遠隔無効&br;運命の輪[10]|絶対治療|農業[16]|計略|R4-命&br;Lv5蘇生&br;v1.04|
|ラナンシー|風|キャスター|105|32|28|38|16|女樹飛|男女樹|鞭&br;道具|A|11|男性支配[15]&br;戦術妨害[50]&br;遠隔攻撃&br;魅了攻撃[2]&br;|全域攻撃&br;追撃阻止[35]&br;イベイド[80]&br;樹霊活性[25]&br;|巨人狩り[25]&br;挑発行為|遠隔攻撃|農業[16]|計略|R4-命&br;v1.04|
|セフィラアニマ|光|キャスター|110|62|45|48|14|神樹飛竜超|人魔竜|鞭&br;装飾|B|18|血の起源[5]&br;大神術陣[24]&br;遠隔攻撃&br;対術吸収[30]&br;|砲撃吸収[30]&br;無形体躯[40]&br;絶対治療&br;加速進化[8]&br;|超魔術砲[12]&br;樹霊支配[20]|大術撃陣[5]||計略|R6-尾&br;v1.04|
|ルナティクスアニマ|闇|キャスター|120|76|59|54|18|神樹飛竜毒超|人魔竜神|鞭&br;装飾|C|21|血の起源[10]&br;大毒気陣[14]&br;次元斬撃[25]&br;対術吸収[35]&br;|砲撃吸収[35]&br;無形体躯[50]&br;特攻防御[50]&br;加速進化[10]&br;|超毒気砲[6]&br;師団支配[20]|大毒気陣[5]||計略|R7-刹&br;v1.04|
|アプスー|水|キャスター|125|82|50|62|24|死海超|全|鞭&br;道具|D|26|死の軍勢[24]&br;軍団攻撃[2]&br;超水流陣[15]&br;巨人狩り[100]&br;|対術吸収[70]&br;無形体躯[50]&br;特攻防御[70]&br;海洋支配[36]&br;|範囲無効&br;戦術結界[70]|地形無効||計略|R8-冥&br;v1.04|
|ドライアド|光|ガーダー|100|8|44|5|8|女魔樹|死毒蟲|鞭&br;道具|S|4|自己治癒[10]&br;防御布陣[10]&br;全体治癒[10]&br;解呪治療&br;|専守防衛&br;攻撃弱体[6]&br;資源工面[15]&br;対術吸収[25]&br;|戦術補助[25]&br;リカバリ[20]|防御布陣[10]|農業[16]|防備|R2-陸&br;v1.04|
|ドワーフガード|土|ガーダー|105|24|39|2|5|人男騎|器器樹蟲|片手&br;盾|S|5|ブロック[30]&br;防御布陣[14]&br;反撃倍加[4]&br;武具研磨[30]&br;|前進防御&br;特攻防御[35]&br;専守防衛&br;撃破金運[4]&br;|城壁構築[100]&br;砲撃結界[35]|城壁構築[20]|工業[16]|防備|R2-闘&br;v1.04|
|アイスエント|水|ガーダー|110|22|56|12|12|女魔樹氷|炎魔蟲|鞭&br;法衣|S|7|樹霊活性[10]&br;防御布陣[15]&br;専守防衛&br;氷霊活性[10]&br;|異常耐性&br;師団弱体[8]&br;対術結界[25]&br;特攻防御[50]&br;|リカバリ[20]&br;対術反射[30]|特攻防御[5]|農業[16]|防備|R3-造&br;v1.04|
|エルヴンナイト|光|ガーダー|110|38|52|38|6|人女樹雷騎|飛魔死毒|片手&br;盾|S|8|速度削減[10]&br;パリング[50]&br;防御布陣[20]&br;必殺耐性[40]&br;|側面無効&br;専守防衛&br;堅守体躯[25]&br;戦術結界[20]&br;|受け流し[35]&br;雷霊指揮[10]|パリング[10]|軍事[3]|防備|R4-賢&br;v1.04|
|カルキノス|水|ガーダー|110|30|64|16|6|女魔海騎|炎海蟲|盾&br;鎧|A|9|海洋活性[14]&br;致命耐性[60]&br;防御布陣[18]&br;奇襲警戒[20]&br;|貫通無効&br;専守防衛&br;堅守体躯[30]&br;反撃倍加[5]&br;|扇形無効&br;自爆結界[50]|パリング[10]|商業[12]|防備|R4-英&br;v1.04|
|スイカオーランタン|土|ガーダー|110|32|53|9|3|女樹騎|獣蟲|片手&br;盾|A|10|対術吸収[35]&br;防御布陣[20]&br;反撃倍加[6]&br;必殺増加[35]&br;|リカバリ[35]&br;専守防衛&br;堅守体躯[25]&br;加速進化[8]&br;|グルメ魂[5]&br;異常耐性|バリアー[1]|農業[16]|防備|R4-命&br;v1.04|
|クーフーリン|光|ガーダー|115|48|65|24|12|女神人騎|器獣魔神|斧槍&br;盾|B|13|異常耐性&br;専守防衛&br;防御布陣[22]&br;十字無効&br;|ブロック[55]&br;堅守体躯[35]&br;必殺増加[20]&br;致命必殺[45]&br;|運命改変[20]&br;特攻防御[50]|必殺増加[10]|軍事[3]|防備|R5-使&br;v1.04|
|ネーレウス|水|デストロイヤー|95|32|19|18|13|女魔海|人男炎|斧槍&br;法衣|S|5|魅了攻撃[2]&br;貫通攻撃&br;無形体躯[30]&br;男性弱体[10]&br;|大水流陣[6]&br;海洋活性[12]&br;追撃阻止[25]&br;攻撃削減[12]&br;|水流砲弾[3]&br;リカバリ[20]|大術撃陣[5]|魔術[12]|進撃|R2-海&br;v1.04|
|ドワーフファイター|土|デストロイヤー|105|45|30|2|5|人男騎|器器蟲樹|斧槍&br;鎧|S|6|反撃耐性[30]&br;武具研磨[40]&br;撃破金運[6]&br;扇形攻撃&br;|堅守体躯[20]&br;必殺増加[20]&br;カブト割[15]&br;城壁崩し[100]&br;|巨人狩り[20]&br;城壁構築[100]|城壁崩し[20]|工業[16]|進撃|R2-闘&br;v1.04|
|エルヴンストライカー|光|デストロイヤー|110|48|32|33|6|人女樹雷|飛魔死毒|爪&br;道具|S|8|反撃耐性[50]&br;パリング[45]&br;奇襲戦法[10]&br;集約攻撃&br;|確率追撃[35]&br;城壁崩し[75]&br;防御弱体[15]&br;樹霊活性[12]&br;|貫通攻撃&br;乾坤一擲[60]|確率追撃[10]|農業[16]|進撃|R4-賢&br;v1.04|
|ノクターンスカラー|光|デストロイヤー|95|75|1|4|20|女魔雷器夜|飛海器|射撃&br;装飾|S|10|城壁崩し[60]&br;雷撃放射[12]&br;器兵支配[10]&br;カブト割[50]&br;|自決自爆[40]&br;遠隔攻撃&br;攻撃削減[20]&br;戦意高揚[35]&br;|全力攻撃[50]&br;雷撃砲弾[5]|開幕砲弾[5]|工業[20]|進撃|R4-賢&br;v1.04|
|ドワーフキング|土|デストロイヤー|115|65|50|6|12|人男騎|器器蟲樹竜|両手&br;盾|A|11|自爆結界[100]&br;師団活性[10]&br;撃破金運[9]&br;十字攻撃&br;|堅守体躯[40]&br;必殺増加[30]&br;カブト割[30]&br;巨人狩り[30]&br;|武具研磨[100]&br;城壁構築[500]|師団活性[5]|工業[20]|進撃|R5-王&br;Lv4全↑&br;v1.04|
|キラーバスケット|土|デストロイヤー|115|80|35|24|10|女魔樹器|男女獣蟲海|法衣&br;道具|B|14|大強酸陣[12]&br;必殺増加[25]&br;致命必殺[100]&br;側面攻撃[25]&br;|堅守体躯[40]&br;無形体躯[40]&br;カブト割[40]&br;吸血攻撃[10]&br;|グルメ魂[8]&br;確率追撃[100]|カブト割[1]|農業[8]|進撃|R6-帝&br;Lv4蘇生&br;v1.04|
|マッドスカラーＳ|光|デストロイヤー|110|120|1|6|30|女魔雷器夜|飛魔神器|射撃&br;装飾|B|20|城壁崩し[150]&br;大雷撃陣[12]&br;十字攻撃&br;カブト割[50]&br;|自決自爆[50]&br;遠隔攻撃&br;巨人狩り[50]&br;戦意高揚[100]&br;|全力攻撃[100]&br;雷撃砲弾[10]|開幕砲弾[5]|工業[24]|進撃|R6-機&br;v1.04|
|セフィラドラグス|光|デストロイヤー|120|103|86|18|6|神樹飛竜超|人魔竜|爪&br;獣装|C|23|血の起源[10]&br;カブト割[50]&br;心核穿ち[50]&br;対術吸収[50]&br;|砲撃吸収[50]&br;堅守体躯[50]&br;全域攻撃&br;加速進化[10]&br;|竜の吐息[15]&br;師団支配[25]|師団活性[5]||進撃|R7-真&br;v1.04|
|ルナティクスドラグス|闇|デストロイヤー|125|123|105|26|10|神樹飛竜毒超|人魔竜神|爪&br;獣装|D|26|血の起源[15]&br;巨人狩り[100]&br;心核穿ち[100]&br;狂奔の牙[15]&br;|堅守体躯[50]&br;特攻防御[50]&br;軍団攻撃[2]&br;加速進化[12]&br;|竜の吐息[20]&br;軍団支配[20]|特攻防御[5]||進撃|R7-刹&br;v1.04|
|ベビーアルラウネ|土|ヒーラー|85|4|4|4|6|女魔樹|蟲|鞭&br;道具|S|1|獣族活性[5]&br;魔族活性[5]&br;樹霊活性[5]&br;魔族医療[8]&br;|毒気放射[3]&br;専守防衛&br;矮小体躯[30]&br;男性弱体[3]&br;|標的後逸&br;術式増幅[5]|削減治療|医療[3]|防備|R1-異&br;v1.04|
|マンドラゴラ|土|ヒーラー|90|12|10|16|10|女魔樹夜|人獣蟲|鞭&br;道具|S|2|標的後逸&br;知力弱体[4]&br;専守防衛&br;麻痺治療&br;|解毒治療&br;全体治癒[4]&br;グルメ魂[2]&br;&br;|グルメ魂[2]&br;削減治療|解毒治療|医療[3]|防備|R1-異&br;v1.04|
|カクタスガール・マミ|火|ヒーラー|95|26|18|18|9|女魔樹毒|飛獣|装飾&br;道具|S|3|自決自爆[30]&br;専守防衛&br;イベイド[40]&br;全体治癒[8]&br;|削減治療&br;戦意高揚[50]&br;麻痺治療&br;師団活性[8]&br;|知力指揮[10]&br;戦意高揚[50]|麻痺治療|農業[16]|防備|R2-陸&br;v1.04|
|アルラウネ|土|ヒーラー|95|21|26|22|12|女魔樹|男獣蟲|鞭&br;法衣|S|4|獣族活性[10]&br;魔族活性[10]&br;男性弱体[10]&br;魔族医療[8]&br;|魅了攻撃[2]&br;遠隔攻撃&br;リカバリ[20]&br;戦術結界[15]&br;|専守防衛&br;戦術補助[40]|全体治癒[5]|医療[3]|防備|R2-陸&br;v1.04|
|エルヴンシャーマン|水|ヒーラー|90|6|21|24|16|人女樹|獣炎氷雷|杖&br;法衣|S|5|専守防衛&br;大水流陣[8]&br;全体治癒[10]&br;樹霊活性[15]&br;|追撃阻止[25]&br;解毒治療&br;麻痺治療&br;砲撃結界[25]&br;|リバイブ[10]&br;削減治療|砲撃結界[10]|医療[3]|防備|R2-幻&br;v1.04|
|ファンガスコック|土|ヒーラー|100|22|28|34|14|女魔樹|樹獣蟲海|両手&br;盾|S|6|行動増加[1]&br;師団活性[12]&br;解毒治療&br;削減治療&br;|専守防衛&br;戦意高揚[25]&br;全体治癒[8]&br;グルメ魂[5]&br;|グルメ魂[6]&br;側面無効|全体治癒[5]|医療[3]|防備|R2-信&br;v1.04|
|メリアス|闇|ヒーラー|100|26|36|4|16|女魔樹毒|樹毒|装飾&br;道具|S|7|戦術妨害[55]&br;対術結界[20]&br;バリアー[3]&br;平等治癒[8]&br;|絶対治療&br;解毒治療&br;グルメ魂[5]&br;専守防衛&br;|全域無効&br;リカバリ[35]|平等治癒[1]|医療[3]|防備|R3-凶&br;v1.04|
|カクタスガール・メロ|火|ヒーラー|105|42|32|24|11|女魔樹毒|飛獣|装飾&br;道具|A|8|自決自爆[40]&br;行動増加[1]&br;削減治療&br;全体治癒[12]&br;|自爆結界[30]&br;戦意高揚[50]&br;絶対治療&br;師団活性[14]&br;|攻撃指揮[10]&br;戦術補助[100]|攻撃指揮[1]|農業[16]|防備|R3-造&br;v1.04|
|ティターニア|風|ヒーラー|105|16|28|68|24|女樹飛||杖&br;法衣|A|12|戦術補助[100]&br;大神術陣[12]&br;専守防衛&br;標的後逸&br;|平等治癒[18]&br;絶対治療&br;樹霊活性[35]&br;バリアー[6]&br;|軍団治癒[4]&br;十字無効|絶対治療|医療[3]|防備|R5-王&br;v1.04|
|イルミンスール|土|ヒーラー|110|5|52|18|22|女神樹飛||法衣&br;道具|B|17|軍団治癒[12]&br;側面無効&br;専守防衛&br;城壁構築[300]&br;|異常耐性&br;絶対治療&br;樹霊支配[40]&br;リバイブ[35]&br;|対術結界[60]&br;戦術結界[60]|バリアー[1]|医療[3]|防備|R6-神&br;Lv5全↑&br;v1.04|
|BGCOLOR(#FEF):|||||||||||||||||||&br;|c
|ポンポコ忍者|土|ブレイダー|90|16|12|38|8|女魔獣樹夜|人夜|射撃&br;法衣|S|3|遠隔攻撃&br;イベイド[40]&br;トレハン[12]&br;撃破金運[3]&br;|撃破金運[4]&br;自決自爆[35]&br;致命必殺[25]&br;挑発行為&br;|夜行活性[12]&br;標的後逸|パリング[10]|商業[16]|進撃|R1-獣&br;v1.04|
|般若武者|火|ブレイダー|105|44|24|30|8|女魔雷|人飛海器|片手&br;両手|S|6|多段攻撃[1]&br;雷撃放射[12]&br;攻撃支配[10]&br;パリング[50]&br;|側面攻撃[20]&br;巨人狩り[25]&br;狂奔の牙[10]&br;カブト割[15]&br;|確率追撃[50]&br;武具研磨[30]|カブト割[1]|軍事[3]|進撃|R3-歴&br;v1.04|
|牛鬼|土|ブレイダー|115|81|58|42|10|女魔毒蟲獣夜|人飛魔神|両手&br;爪|B|13|多段攻撃[2]&br;大毒気陣[10]&br;特攻防御[60]&br;毒化攻撃[15]&br;|カブト割[35]&br;狂奔の牙[15]&br;反撃耐性[50]&br;リカバリ[35]&br;|狂戦士化[25]&br;毒気砲弾[7]|カブト割[1]|軍事[3]|進撃|R5-鬼&br;v1.04|
|はやて|風|ブレイダー|105|53|33|63|6|男獣魔樹飛|人魔獣|爪&br;道具|S|13|必殺増加[33]&br;致命必殺[33]&br;パリング[33]&br;必殺耐性[33]&br;|風属活性[33]&br;多段攻撃[3]&br;側面攻撃[33]&br;特攻防御[33]&br;|心核穿ち[33]&br;反撃耐性[33]|必殺増加[10]|商業[20]|進撃|R6-尾&br;v1.04|
|屍破犬|水|ブレイダー|115|86|52|65|7|男獣氷騎|魔死夜炎超|爪&br;法衣|B|15|背水の陣[40]&br;凍結攻撃[60]&br;確率追撃[100]&br;巨人狩り[40]&br;|必殺増加[30]&br;反撃耐性[70]&br;特攻防御[50]&br;勇猛果敢&br;|超越弱体[30]&br;強制異常[20]|致命必殺[15]|農業[16]|進撃|R6-尾&br;v1.04|
|酒呑童子|火|ブレイダー|130|106|92|28|8|男魔炎|人竜魔神|両手&br;道具|C|17|狂奔の牙[15]&br;必殺増加[25]&br;致命必殺[75]&br;扇形攻撃&br;|全力攻撃[65]&br;堅守体躯[50]&br;炎霊支配[30]&br;大火炎陣[20]&br;|狂戦士化[50]&br;恐怖の瞳[50]|カブト割[1]|軍事[3]|進撃|R6-機&br;v1.04|
|ぬらりひょん|闇|ブレイダー|120|116|56|78|12|女魔夜超|男女魔死夜|片手&br;法衣|C|23|人間弱体[35]&br;リカバリ[100]&br;次元斬撃[35]&br;心核穿ち[50]&br;|多段攻撃[3]&br;確率追撃[100]&br;イベイド[100]&br;夜行活性[50]&br;|愚者の嘘[2]&br;夜行支配[50]|側面攻撃[5]|商業[24]|進撃|R7-運&br;v1.04|
|アマハバキリ|水|ブレイダー|115|120|78|60|14|女神器|竜飛魔死|両手&br;法衣|D|26|攻撃指揮[20]&br;側面攻撃[20]&br;心核穿ち[25]&br;確率追撃[100]&br;|多段攻撃[3]&br;次元斬撃[40]&br;異常耐性&br;集約攻撃&br;|武具研磨[75]&br;乾坤一擲[25]|側面攻撃[5]|軍事[3]|進撃|R7-刹&br;v1.04|
|火車|火|ランサー|95|28|12|50|4|女魔炎夜|氷樹海死|盾&br;獣装|S|5|貫通攻撃&br;火炎放射[8]&br;兵士運搬&br;資源工面[25]&br;|解除攻撃&br;炎霊活性[10]&br;火属活性[6]&br;グルメ魂[4]&br;|グルメ魂[4]&br;大火炎陣[4]|兵士運搬|商業[16]|乱戦|R2-苦&br;v1.04|
|竜宮の姫|水|ランサー|115|70|54|36|14|女竜海|樹海魔炎|鞭&br;法衣|A|14|竜の吐息[8]&br;海洋活性[24]&br;特攻防御[60]&br;カブト割[45]&br;|十字攻撃&br;竜王守護[50]&br;大水流陣[14]&br;必殺増加[20]&br;|致命必殺[50]&br;十字無効|砲撃結界[10]|魔術[16]|乱戦|R5-使&br;v1.04|
|幻獣ライゴウ|光|ランサー|115|72|42|50|10|星獣雷|魔神器夜|爪&br;獣装|B|16|カブト割[25]&br;星天活性[20]&br;確率追撃[100]&br;封印攻撃&br;|側面攻撃[15]&br;堅守体躯[35]&br;反撃耐性[60]&br;必殺増加[25]&br;|集約攻撃&br;致命必殺[50]|側面攻撃[5]||乱戦|R6-尾&br;v1.04|
|一目連|水|ランサー|115|83|74|65|12|女魔海竜雷|器海飛|斧槍&br;装飾|B|18|雷撃砲弾[10]&br;海洋支配[20]&br;全域攻撃&br;無形体躯[35]&br;|竜鱗守護[75]&br;必殺増加[20]&br;致命必殺[100]&br;遠隔無効&br;|飛行弱体[35]&br;地形無効|心核穿ち[5]|農業[16]|乱戦|R6-尾&br;v1.04|
|凶幻獣ライゴウ|闇|ランサー|120|108|63|75|2|星獣毒雷|人獣樹飛器|爪&br;獣装|C|21|カブト割[35]&br;星天活性[30]&br;確率追撃[125]&br;封印攻撃&br;|側面攻撃[25]&br;堅守体躯[45]&br;反撃耐性[75]&br;必殺増加[30]&br;|集約攻撃&br;致命必殺[65]|側面攻撃[5]||乱戦|R7-破&br;v1.04|
|大百足姫|土|ランサー|135|103|115|12|8|女蟲毒夜|人樹毒竜神|爪&br;獣装|C|23|蟲族支配[40]&br;大強酸陣[8]&br;カブト割[30]&br;全域攻撃&br;|巨人狩り[100]&br;必殺耐性[50]&br;異常耐性&br;堅守体躯[50]&br;|特攻防御[80]&br;側面無効|乾坤一擲[10]|農業[12]|乱戦|R7-破&br;v1.04|
|雪女|水|シューター|90|16|11|25|8|女魔氷飛|男炎炎|杖&br;法衣|S|2|遠隔攻撃&br;凍結攻撃[30]&br;氷霊活性[10]&br;大氷撃陣[4]&br;|師団弱体[8]&br;速度弱体[4]&br;炎霊弱体[10]&br;自爆結界[15]&br;|麻痺治療&br;解除攻撃|術撃放射[15]|魔術[12]|計略|R1-異&br;v1.04|
|河童|水|シューター|90|14|16|29|8|女魔海|人炎|片手&br;盾|S|2|遠隔攻撃&br;水流放射[8]&br;知力弱体[10]&br;防御削減[6]&br;|イベイド[40]&br;海洋活性[10]&br;貫通無効&br;&br;|扇形無効&br;側面無効|遠隔攻撃|商業[12]|計略|R1-異&br;v1.04|
|ネコマタ|風|シューター|95|24|15|36|10|女魔獣樹|男女|爪&br;法衣|S|4|遠隔攻撃&br;獣族活性[8]&br;樹霊活性[8]&br;撃破金運[5]&br;|トレハン[10]&br;蟲族弱体[10]&br;致命必殺[25]&br;挑発行為&br;|トレハン[8]&br;撃破金運[5]|致命必殺[15]|商業[20]|計略|R2-陸&br;v1.04|
|砂かけロリばばあ|土|シューター|100|30|22|32|6|女魔夜||射撃&br;法衣|S|5|男性活性[15]&br;遠隔攻撃&br;攻撃弱体[15]&br;攻撃削減[15]&br;|防御削減[15]&br;矮小体躯[40]&br;扇形攻撃&br;追撃阻止[50]&br;|追撃阻止[50]&br;確率追撃[100]|遠隔攻撃|魔術[12]|計略|R2-苦&br;v1.04|
|楓|火|シューター|105|59|39|29|19|女獣神樹飛炎|魔死氷|杖&br;法衣|S|9|致命必殺[99]&br;大火炎陣[19]&br;火属活性[19]&br;遠隔攻撃&br;|撃破金運[7]&br;グルメ魂[9]&br;絶対治療&br;トレハン[19]&br;|火属指揮[19]&br;撃破金運[9]|師団活性[5]|商業[20]|計略|R6-尾&br;v1.04|
|雪女将|水|シューター|110|35|35|75|14|女魔氷|人獣樹炎飛|法衣&br;道具|B|14|氷霊指揮[15]&br;凍結攻撃[70]&br;全域攻撃&br;遠隔攻撃&br;|師団弱体[20]&br;大氷撃陣[14]&br;異常耐性&br;凍傷気流[15]&br;|強制異常[20]&br;戦術妨害[100]|遠隔攻撃|魔術[20]|計略|R5-鬼&br;v1.04|
|焔雉子|火|シューター|110|84|29|48|18|女獣樹炎飛|魔死夜氷超|鞭&br;法衣|B|16|背水の陣[40]&br;大火炎陣[16]&br;封印攻撃&br;遠隔攻撃&br;|巨人狩り[70]&br;イベイド[85]&br;リカバリ[80]&br;対術結界[60]&br;|超火炎砲[6]&br;術式増幅[25]|全体治癒[5]|医療[3]|計略|R6-尾&br;？&br;v1.04|
|幻獣ヤクモ|水|シューター|110|60|48|60|10|星獣飛氷|飛炎樹獣|爪&br;獣装|B|17|大氷撃陣[20]&br;凍結攻撃[50]&br;師団弱体[30]&br;凍傷気流[20]&br;|次元斬撃[30]&br;堅守体躯[40]&br;イベイド[70]&br;多段攻撃[3]&br;|氷撃砲弾[10]&br;バリアー[5]|イベイド[10]||計略|R6-尾&br;v1.04|
|迦楼羅天|風|シューター|115|82|71|74|18|女神獣樹飛炎|飛魔獣蟲|杖&br;道具|B|18|風属指揮[10]&br;師団指揮[10]&br;次元斬撃[10]&br;封印攻撃&br;|イベイド[90]&br;異常耐性&br;奇襲警戒[20]&br;戦術結界[60]&br;|軍団活性[10]&br;戦術補助[100]|師団活性[5]|魔術[20]|計略|R7-真&br;v1.04|
|凶幻獣ヤクモ|闇|シューター|115|90|72|90|2|星獣毒飛氷|獣樹炎飛竜|爪&br;獣装|C|22|大氷撃陣[30]&br;凍結攻撃[75]&br;師団弱体[40]&br;凍傷気流[30]&br;|次元斬撃[35]&br;堅守体躯[50]&br;イベイド[85]&br;多段攻撃[4]&br;|氷撃砲弾[13]&br;バリアー[8]|イベイド[10]||計略|R7-破&br;v1.04|
|管狐|火|キャスター|90|20|12|26|11|魔獣飛炎夜|樹氷|爪&br;道具|S|2|火炎放射[10]&br;対術結界[15]&br;遠隔攻撃&br;炎霊活性[8]&br;|矮小体躯[20]&br;奇襲戦法[10]&br;トレハン[8]&br;撃破金運[2]&br;|バリアー[3]&br;撃破金運[4]|バリアー[1]|魔術[12]|計略|R1-獣&br;v1.04|
|ユキンコ|水|キャスター|90|13|11|29|9|女男魔氷|獣樹炎|法衣&br;道具|S|3|氷撃放射[8]&br;凍結攻撃[25]&br;遠隔攻撃&br;氷霊活性[10]&br;|矮小体躯[30]&br;資源工面[20]&br;砲撃結界[15]&br;戦術妨害[15]&br;|バリアー[3]&br;氷撃砲弾[3]|バリアー[1]|農業[12]|計略|R2-海&br;v1.04|
|カラス天狗|風|キャスター|90|10|16|42|16|女魔獣樹飛|飛樹|杖&br;法衣|S|5|師団支配[10]&br;大魔術陣[4]&br;遠隔攻撃&br;城壁崩し[50]&br;|奇襲警戒[8]&br;戦術結界[25]&br;背水の陣[20]&br;戦意高揚[20]&br;|師団指揮[10]&br;魔術砲弾[3]|速度布陣[10]|軍事[3]|計略|R2-空&br;v1.04|
|三霊狐|火|キャスター|95|24|18|30|12|魔獣炎飛夜|魔獣死|爪&br;道具|S|5|大火炎陣[4]&br;対術結界[25]&br;遠隔攻撃&br;魔族活性[10]&br;|炎霊活性[10]&br;無形体躯[30]&br;奇襲警戒[10]&br;術式増幅[10]&br;|火炎砲弾[4]&br;リカバリ[30]|開幕砲弾[5]|魔術[12]|計略|R2-幻&br;v1.04|
|金霊|光|キャスター|95|26|28|24|13|女魔器|人器|法衣&br;道具|S|6|戦意高揚[25]&br;魔術放射[12]&br;撃破金運[3]&br;撃破金運[4]&br;|撃破金運[5]&br;専守防衛&br;トレハン[20]&br;人間活性[20]&br;|撃破金運[6]&br;撃破金運[7]|全体治癒[5]|商業[24]|計略|R3-造&br;v1.04|
|狂骨|闇|キャスター|110|53|42|26|12|女魔死飛炎夜|人神死氷|杖&br;法衣|A|10|夜行活性[18]&br;封印攻撃&br;遠隔攻撃&br;大毒気陣[12]&br;|呪の一撃&br;無形体躯[40]&br;十字攻撃&br;恐怖の瞳[30]&br;|師団弱体[15]&br;火炎砲弾[6]|リカバリ[5]|魔術[16]|計略|R4-骸&br;v1.04|
|文車妖妃|風|キャスター|110|1|48|24|24|女魔器夜||法衣&br;道具|A|12|術式増幅[10]&br;夜行活性[25]&br;四法結界[30]&br;追撃阻止[30]&br;|結界の歪[20]&br;大魔術陣[20]&br;専守防衛&br;バリアー[3]&br;|愚者の嘘[2]&br;術式増幅[10]|対術結界[10]|魔術[20]|計略|R5-使&br;Lv3蘇生&br;v1.04|
|ルナ|闇|キャスター|105|42|42|12|22|女獣魔樹夜|男女獣夜|鞭&br;法衣|S|12|奇襲警戒[22]&br;大魔術陣[22]&br;闇属活性[22]&br;専守防衛&br;|トレハン[22]&br;撃破金運[8]&br;対術結界[22]&br;砲撃結界[22]&br;|撃破金運[8]&br;グルメ魂[8]|バリアー[1]|商業[20]|計略|R6-尾&br;Lv3全↓&br;v1.04|
|幻獣王シラマガミ|風光|キャスター|125|90|70|65|20|星獣飛雷|全|爪&br;獣装|C|26|致命必殺[50]&br;カブト割[50]&br;巨人狩り[50]&br;竜の吐息[15]&br;|竜王守護[100]&br;神魔体躯[55]&br;対術結界[100]&br;獣族活性[40]&br;|超雷撃陣[10]&br;終の奇跡[10]|正々堂々||計略|R7-運&br;v1.04|
|イザナミ|闇|キャスター|135|108|108|46|20|死神竜蟲毒超|全|杖&br;獣装|E|32|死者支配[43]&br;軍団攻撃[2]&br;次元斬撃[43]&br;心核穿ち[43]&br;|回帰治癒[43]&br;リカバリ[43]&br;超毒気陣[13]&br;特攻防御[73]&br;|地形無効&br;死の軍勢[43]|リカバリ[5]|魔術[16]|計略|R8-冥&br;v1.04|
|ゆきだるま|水|ガーダー|90|20|20|1|4|氷|炎炎|盾&br;鎧|S|2|防御布陣[4]&br;専守防衛&br;氷霊活性[8]&br;氷撃放射[6]&br;|師団弱体[4]&br;炎霊弱体[8]&br;&br;&br;|異常耐性&br;ブロック[8]|特攻防御[5]|商業[12]|防備|R1-異&br;v1.04|
|天邪鬼|火|ガーダー|100|25|36|4|8|女魔夜||鞭&br;道具|S|5|防御布陣[1]&br;愚者の嘘[1]&br;行動阻害[1]&br;矮小体躯[20]&br;|トレハン[10]&br;サボリ癖&br;&br;&br;|師団弱体[15]&br;全域無効|全力攻撃[5]||防備|R3-悪&br;v1.04|
|大鬼|火|ガーダー|110|26|48|8|4|男魔炎|人樹器|両手&br;盾|S|6|防御布陣[8]&br;反撃倍加[3]&br;貫通無効&br;堅守体躯[35]&br;|火炎放射[6]&br;狂奔の牙[10]&br;専守防衛&br;カブト割[15]&br;|狂戦士化[25]&br;特攻防御[20]|堅守体躯[1]|軍事[3]|防備|R3-巨&br;v1.04|
|馬頭|風|ガーダー|105|36|54|12|8|魔女死獣夜|人死騎|斧槍&br;盾|S|7|防御布陣[12]&br;反撃倍加[5]&br;夜行活性[15]&br;解除攻撃&br;|専守防衛&br;貫通無効&br;堅守体躯[25]&br;パリング[35]&br;|死者支配[14]&br;特攻防御[40]|パリング[10]|軍事[3]|防備|R3-凶&br;v1.04|
|海坊主|水|ガーダー|115|48|73|1|3|海夜|人海器|獣装&br;装飾|B|12|海洋支配[10]&br;反撃倍加[8]&br;防御布陣[14]&br;堅守体躯[35]&br;|無形体躯[25]&br;専守防衛&br;側面無効&br;兵士運搬&br;|思考停止&br;異常耐性|特攻防御[5]|商業[12]|防備|R5-鬼&br;v1.04|
|幻獣アカオドシ|火|ガーダー|120|54|80|6|8|星獣炎|氷魔蟲竜|爪&br;獣装|B|15|獣族活性[20]&br;大火炎陣[12]&br;反撃倍加[8]&br;防御布陣[36]&br;|専守防衛&br;堅守体躯[50]&br;前進防御&br;十字無効&br;|兵士運搬&br;特攻防御[40]|パリング[10]||防備|R6-尾&br;v1.04|
